date,close,煤炭：国有重点煤矿企业：产量：中国（旬）,原煤：大型煤炭企业：产量累计值（月）,原煤：大型煤炭企业：产量累计同比（月）,洗精煤：大型煤炭企业：产量累计值：中国（月）,洗精煤：大型煤炭企业：产量累计同比：中国（月）,煤矿：国有重点煤矿企业：产量：中国（月）,统计局：中国：工业产品：产量：原煤（月）,煤炭：国有重点煤矿企业：销售数合计：中国（旬）,煤炭：国有重点煤矿企业：销售数合计：中国（月）,煤炭：销量：中国（月）,煤炭：重点发电企业：供应量：中国（旬）,煤炭：重点发电企业：消费量：中国（旬）,煤炭：国有重点煤矿企业：库存：中国（旬）,煤炭：重点发电企业：库存平均可用天数：中国（旬）,煤炭：重点发电企业：库存：中国（旬）,煤炭：重点发电企业：库存同期增减：中国（月）,样本洗煤厂（110家）：精煤：库存：中国（周）,样本洗煤厂（110家）：煤炭：开工率：中国（周）,样本洗煤厂（110家）：精煤：日均产量：中国（周）,样本洗煤厂（110家）：原煤：库存：中国（周）,炼焦煤：进口：港口库存（周）,230家独立焦化厂：炼焦煤：库存：中国（周）,炼焦煤：247家钢厂样本焦化厂：库存：中国（周）,炼焦煤：矿山企业库存：中国（周）,炼焦煤：独立焦化企业：库存：中国（周）,炼焦煤：独立焦化企业：平均可用天数：中国（周）
"2018-04-13","1132.5","","","","","","","","","","","","","","","","","","","","","238.6","1273.58","1067.18","175.16","1402.54","14.14"
"2018-04-16","1102","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-17","1126.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-18","1149","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-19","1174.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-20","1130.5","5531","","","","","","","4232","","","6600","6680","1451","17","6133","","","","","","224.3","1215.85","1036.56","174.46","1337.45","13.94"
"2018-04-23","1177.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-24","1182","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-25","1165.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-26","1168.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-27","1157.5","","","","","","","","","","","","","","","","","","","","","230","1188.27","1025.01","175.44","1309.11","13.78"
"2018-04-30","","","83492.7","5.8","28968.9","6.6","15403.01","29329.7","","13380.65","28900","10110","9510","","18","6266","617","","","","","","","","","",""
"2018-05-02","1205","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-03","1199.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
