date,close,PVC：产量：中国（日）,PVC：地方企业：产能利用率：中国（周）,PVC：电石法：开工率：中国（周）,PVC：乙烯法：开工率：中国（周）,PVC：表观消费量：中国（月）,PVC：成交量：中国（日）,PVC：看跌比例：中国（周）,PVC：看升比例：中国（周）,PVC：预售量：中国（周）,PVC：社会库存：中国（周）,PVC型材：开工率：中国（周）,PVC管材：开工率：中国（周）,PVC糊树脂：产量：中国（月）,碳化钙：平均开工率：中国企业（周）,碳化钙：产量：中国（周）,碳化钙：检修减损量：中国（周）
"2021-03-12","8750","6.34","84.36","85.31","79.63","","0.62","9","45","39.69","32.68","46.88","63.33","","82.29","28.39","4.88"
"2021-03-13","","6.16","","","","","","","","","","","","","","",""
"2021-03-14","","6.12","","","","","","","","","","","","","","",""
"2021-03-15","9150","6.15","","","","","0.75","","","","","","","","","",""
"2021-03-16","9085","6.09","","","","","0.6","","","","","","","","","",""
"2021-03-17","9070","5.98","","","","","0.83","","","","","","","","","",""
"2021-03-18","8875","5.89","","","","","1.3","","","","","","","","","",""
"2021-03-19","8770","5.96","79.1","78.78","80.39","","1.79","12","18","48.64","33.74","55","63.33","","81.27","27.94","5.32"
"2021-03-20","","6.72","","","","","","","","","","","","","","",""
"2021-03-21","","6.72","","","","","","","","","","","","","","",""
"2021-03-22","8795","6.48","","","","","0.77","","","","","","","","","",""
"2021-03-23","8650","6.55","","","","","1.22","","","","","","","","","",""
"2021-03-24","8610","6.58","","","","","1.26","","","","","","","","","",""
"2021-03-25","8695","6.65","","","","","0.97","","","","","","","","","",""
"2021-03-26","8920","6.68","79.31","79.44","78.79","","0.72","21","18","50.54","33.86","55","63.33","","72.95","25.25","8"
"2021-03-27","","6.5","","","","","","","","","","","","","","",""
"2021-03-28","","6.63","","","","","","","","","","","","","","",""
"2021-03-29","8795","6.69","","","","","0.96","","","","","","","","","",""
"2021-03-30","8640","6.75","","","","","1.26","","","","","","","","","",""
"2021-03-31","8540","6.67","","","","174.8727","1.16","","","","","","","10.1732","","",""
"2021-04-01","8795","6.7","","","","","0.96","","","","","","","","","",""
"2021-04-02","8930","6.76","82.23","82.3","81.96","","0.69","21","16","45.28","31.34","58.13","59","","85.15","29.73","3.55"
"2021-04-03","","6.37","","","","","","","","","","","","","","",""
"2021-04-04","","6.37","","","","","","","","","","","","","","",""
"2021-04-05","","6.4","","","","","","","","","","","","","","",""
"2021-04-06","8940","6.41","","","","","0.57","","","","","","","","","",""
"2021-04-07","8875","6.34","","","","","0.67","","","","","","","","","",""
"2021-04-08","8870","6.24","","","","","0.83","","","","","","","","","",""
"2021-04-09","8735","6.24","82.57","82.16","84.23","","1.28","16","17","47.53","29.14","66.88","63.33","","88.05","30.57","2.68"
"2021-04-10","","6.26","","","","","","","","","","","","","","",""
"2021-04-11","","6.29","","","","","","","","","","","","","","",""
"2021-04-12","8610","6.31","","","","","1.81","","","","","","","","","",""
"2021-04-13","8595","6.23","","","","","1.48","","","","","","","","","",""
"2021-04-14","8715","6.22","","","","","1","","","","","","","","","",""
"2021-04-15","8725","6.23","","","","","0.48","","","","","","","","","",""
"2021-04-16","8810","6.23","80.9","80.92","80.81","","0.67","16","17","49.3","29.03","68.13","63.33","","87.89","30.66","2.6"
"2021-04-17","","6.34","","","","","","","","","","","","","","",""
"2021-04-18","","6.37","","","","","","","","","","","","","","",""
"2021-04-19","8840","6.39","","","","","0.74","","","","","","","","","",""
"2021-04-20","8840","6.3","","","","","0.66","","","","","","","","","",""
"2021-04-21","8640","6.32","","","","","1.78","","","","","","","","","",""
"2021-04-22","8925","6.33","","","","","0.8","","","","","","","","","",""
"2021-04-23","9040","6.33","82.04","82.26","81.19","","0.85","13","46","47.27","25.25","70","63.33","","86.29","29.97","3.28"
"2021-04-24","","6.38","","","","","","","","","","","","","","",""
"2021-04-25","","6.32","","","","","0.69","","","","","","","","","",""
"2021-04-26","8885","6.2","","","","","0.72","","","","","","","","","",""
"2021-04-27","8925","6.11","","","","","0.89","","","","","","","","","",""
"2021-04-28","8985","6.11","","","","","0.73","","","","","","","","","",""
"2021-04-29","8885","6.15","","","","","0.98","","","","","","","","","",""
"2021-04-30","8860","6.27","80.9","81.32","79.23","165.39","1.1","29","33","53.64","23.93","70","60","9.6361","86.07","29.74","3.5"
"2021-05-01","","6.36","","","","","","","","","","","","","","",""
"2021-05-02","","6.32","","","","","","","","","","","","","","",""
"2021-05-03","","6.42","","","","","","","","","","","","","","",""
"2021-05-04","","6.35","","","","","","","","","","","","","","",""
"2021-05-05","","6.35","","","","","","","","","","","","","","",""
"2021-05-06","9120","6.4","","","","","0.75","","","","","","","","","",""
"2021-05-07","9285","6.44","82.09","82.41","82.99","","0.58","30","30","45.71","21.32","64.38","54","","88.04","30.17","3.1"
"2021-05-08","","6.44","","","","","0.69","","","","","","","","","",""
"2021-05-09","","6.45","","","","","","","","","","","","","","",""
"2021-05-10","9345","6.42","","","","","0.9","","","","","","","","","",""
"2021-05-11","9225","6.29","","","","","0.89","","","","","","","","","",""
"2021-05-12","9280","6.3","","","","","0.61","","","","","","","","","",""
"2021-05-13","9110","6.37","","","","","1.36","","","","","","","","","",""
